,Gender,Race,Sexual orientation,Age,Ave_salary
,Male,White,Heterosexual,16-19,1721.21
,Male,White,Heterosexual,16-19,1380.24
,Male,White,Heterosexual,16-19,1524.88
,Male,White,Heterosexual,16-19,1840.42
,Male,White,Heterosexual,16-19,1747.09
,Male,White,Heterosexual,16-19,1035.88
,Male,White,Heterosexual,16-19,1517.72
,Male,White,Heterosexual,16-19,1242.36
,Male,White,Heterosexual,16-19,1254.4
,Male,White,Heterosexual,16-19,1382.85
,Male,White,Heterosexual,16-19,1316.21
,Male,White,Heterosexual,16-19,1643.77
,Male,White,Heterosexual,16-19,1470.46
,Male,White,Heterosexual,20-24,1310.62
,Male,White,Heterosexual,20-24,1391.17
,Male,White,Heterosexual,20-24,1363.62
,Male,White,Heterosexual,20-24,1653.72
,Male,White,Heterosexual,20-24,1228.91
,Male,White,Heterosexual,20-24,1358.47
,Male,White,Heterosexual,20-24,1066.68
,Male,White,Heterosexual,20-24,641.95
,Male,White,Heterosexual,20-24,1443.6
,Male,White,Heterosexual,20-24,1496.31
,Male,White,Heterosexual,20-24,1094.66
,Male,White,Heterosexual,20-24,1847.64
,Male,White,Heterosexual,20-24,916.61
,Male,White,Heterosexual,20-24,1291.64
,Male,White,Heterosexual,20-24,1233.4
,Male,White,Heterosexual,20-24,1663.39
,Male,White,Heterosexual,20-24,1647.54
,Male,White,Heterosexual,20-24,1318.94
,Male,White,Heterosexual,20-24,1374.74
,Male,White,Heterosexual,20-24,1058.25
,Male,White,Heterosexual,20-24,785.00
,Male,White,Heterosexual,20-24,1193.22
,Male,White,Heterosexual,20-24,1319.29
,Male,White,Heterosexual,20-24,1587.77
,Male,White,Heterosexual,20-24,1580.79
,Male,White,Heterosexual,20-24,1183.37
,Male,White,Heterosexual,20-24,1204.62
,Male,White,Heterosexual,20-24,1018.06
,Male,White,Heterosexual,20-24,925.20
,Male,White,Heterosexual,20-24,853.63
,Male,White,Heterosexual,20-24,1767.89
,Male,White,Heterosexual,20-24,1152.79
,Male,White,Heterosexual,20-24,1170.68
,Male,White,Heterosexual,20-24,967.00
,Male,White,Heterosexual,20-24,1474.57
